sku,name,category,price_per_day_eur,price_per_day_cents,description,image_url,image_urls_all,image_count,availability,source_url,tags
CHEM-DE-TABL-001,Chemin de table vert sauge,nappages,3,300,Ajoutez une touche chaleureuse et tendance à votre décoration de table avec ce chemin de table vert sauge en simple gaze.,"https://static.wixstatic.com/media/2ef057_69956bd708b74dcfa38b5c4660ec0057~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_69956bd708b74dcfa38b5c4660ec0057~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_e27ad8244da846e8b17dc8d7d69c4901~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",2,InStock,https://www.le-splendid.events/product-page/chemin-de-table-vert-sauge,chemin
TENT-A-L-002,Tenture (à l'unité),housses,5,500,Tenture mariage luxe en satin blanc pour une décoration haut de gamme dans votre salle de décoration mariage.Loué sans guirlande LED.,"https://static.wixstatic.com/media/2ef057_968452b04b5844e8acd634974e9d465a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_968452b04b5844e8acd634974e9d465a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_0bf1ba65b8b246359e38e1980168570a~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_d3c461bac0b34706aae6ed9de8c69f22~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_47e807608fa8428faade4009b565936d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_bc0cd80eabc14308a64015482b9b929d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",5,InStock,https://www.le-splendid.events/product-page/tenture,eclairage
TRON-DE-NOEL-003,Trône de Noël,chaises,150,15000,"Plongez vos invités dans la magie des fêtes avec notre majestueux trône de Noël, parfait pour accueillir le Père Noël lors des marchés, animations, séances photo ou événements en entreprise. Ce fauteuil au design chaleureux et élégant deviendra la pièce maîtresse de votre décor de fin d’année.","https://static.wixstatic.com/media/2ef057_4cd63b2fab4b436999c18b061e8a9632~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_4cd63b2fab4b436999c18b061e8a9632~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",1,InStock,https://www.le-splendid.events/product-page/tr%C3%B4ne-de-no%C3%ABl,trone | structure | animation
CHAI-NAPO-PLEX-004,Chaise Napoleon Plexi,chaises,4,400,"Apportez une touche de prestige à vos événements avec notre chaise Napoléon plexi transparente. Inspirée du style classique, elle est parfaite pour les mariages, banquets, galas, cérémonies et autres réceptions élégantes.","https://static.wixstatic.com/media/2ef057_0ce814192cd3421e929747775952f63f~mv2.png/v1/fit/w_500,h_500,q_90/file.png","https://static.wixstatic.com/media/2ef057_0ce814192cd3421e929747775952f63f~mv2.png/v1/fit/w_500,h_500,q_90/file.png",1,InStock,https://www.le-splendid.events/product-page/chaise-napoleon-plexi,
TOIL-CIRQ-005,Toile cirque,decorations,15,1500,"Toile de fond cirque pour vos photo, idéale pour créer un décor enchanté lors de vos événements.Louée avec son armature pour une installation facile et rapide.","https://static.wixstatic.com/media/2ef057_c4c8e255bf944c3fb18d1c6602910a90~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_c4c8e255bf944c3fb18d1c6602910a90~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",1,InStock,https://www.le-splendid.events/product-page/toile-cirque,photobooth
PROJ-PAR-LED-006,Projecteur Par Led sur Batterie,machines,20,2000,"Idéale pour sublimer les murs et l'architecture de votre salle.Il dispose d'une autonomie de 12 heures, parfait pour vos mariages, soirées et réceptions.","https://static.wixstatic.com/media/2ef057_8a1a8e309e564e218467c9a2c2f41fea~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_8a1a8e309e564e218467c9a2c2f41fea~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",1,InStock,https://www.le-splendid.events/product-page/projecteur-par-led-sur-batterie,eclairage
PETI-ROND-DE-007,Petit Rondin de bois,decorations,0.5,50,"Apportez une touche naturelle et rustique à votre décoration avec des petits rondins de bois, parfait pour servir de centre de table.","https://static.wixstatic.com/media/2ef057_5a6add3611064bd39af8e3213568b0c5~mv2.png/v1/fit/w_500,h_500,q_90/file.png","https://static.wixstatic.com/media/2ef057_5a6add3611064bd39af8e3213568b0c5~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/2ef057_2673c9ebf7ff4d5c8abd62aca41660e0~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_62c615c802494bcbbcbe998ea41e9871~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",3,InStock,https://www.le-splendid.events/product-page/petit-rondin-de-bois,bois | centre_table
TOIL-NOEL-BLAN-008,Toile Noël blanc,decorations,15,1500,Louée avec son armature pour une installation facile et rapide.,"https://static.wixstatic.com/media/2ef057_747c3cdc4fe942c88bd2fe236f514a43~mv2.png/v1/fit/w_500,h_500,q_90/file.png","https://static.wixstatic.com/media/2ef057_747c3cdc4fe942c88bd2fe236f514a43~mv2.png/v1/fit/w_500,h_500,q_90/file.png",1,InStock,https://www.le-splendid.events/product-page/toile-no%C3%ABl-blanc,photobooth
MOLK-009,Molky,decorations,10,1000,"Mölkky, un jeu d'extérieur convivial et amusant, idéal pour animer vos événements. ","https://static.wixstatic.com/media/2ef057_9e66bb97eb7b47b2a932df69459c4449~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg","https://static.wixstatic.com/media/2ef057_9e66bb97eb7b47b2a932df69459c4449~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",1,InStock,https://www.le-splendid.events/product-page/molky,jeu
NOEU-MARR-CUIV-010,Noeud marron cuivré organza,housses,0.4,40,"Nœud de chaise, l'accessoire parfait pour sublimer vos chaises lors de vos événements.","https://static.wixstatic.com/media/2ef057_be6899ff2faa423c9bc943457fe6bc7e~mv2.png/v1/fit/w_500,h_500,q_90/file.png","https://static.wixstatic.com/media/2ef057_be6899ff2faa423c9bc943457fe6bc7e~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/2ef057_bca5d3d7ab144b30a3ffe0f35f258aa3~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg | https://static.wixstatic.com/media/2ef057_c1fc272a7d534879b9ef229520af09b7~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",3,InStock,https://www.le-splendid.events/product-page/noeud-marron-cuivr%C3%A9-organza,noeud
