method,path,category,rationale,source_file
GET,/.well-known/jwks.json,platform/system,Infra/security endpoint not tied to product workflow,app/api/jwks.py
POST,/admin/provision,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
POST,/admin/provision/degraded/disable,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
POST,/admin/provision/degraded/enable,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
GET,/admin/provision/degraded/status,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
POST,/admin/provision/{tenant_id}/activate,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
POST,/admin/provision/{tenant_id}/offboard,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
POST,/admin/provision/{tenant_id}/suspend,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/provisioning.py
GET,/admin/settings,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/admin_settings.py
PATCH,/admin/settings,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/admin_settings.py
GET,/admin/tenants/{tenant_id}/sessions,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/sessions.py
DELETE,/admin/tenants/{tenant_id}/sessions/{session_id},admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/sessions.py
DELETE,/admin/tenants/{tenant_id}/users/{user_id}/sessions,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/sessions.py
GET,/admin/tenants/{tenant_id}/users/{user_id}/sessions,admin/internal,Tenant lifecycle or cross-tenant ops endpoint,app/api/v1/endpoints/sessions.py
GET,/api-keys,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
POST,/api-keys,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
DELETE,/api-keys/{api_key_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
GET,/api-keys/{api_key_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
PATCH,/api-keys/{api_key_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
POST,/api-keys/{api_key_id}/rotate,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/api_keys.py
GET,/audit,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/audit.py
GET,/audit/entity/{entity_type}/{entity_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/audit.py
GET,/audit/user/{user_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/audit.py
POST,/auth/change-password,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
GET,/auth/csrf,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/forgot-password,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/login,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/logout,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/logout/device/{device_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
GET,/auth/me,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/refresh,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
POST,/auth/reset-password,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/auth.py
GET,/bundles,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
POST,/bundles,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
DELETE,/bundles/{bundle_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
GET,/bundles/{bundle_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
PATCH,/bundles/{bundle_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
GET,/bundles/{bundle_id}/calculate-price,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
POST,/bundles/{bundle_id}/items,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
DELETE,/bundles/{bundle_id}/items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
PATCH,/bundles/{bundle_id}/items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/bundles.py
GET,/categories,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
POST,/categories,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
GET,/categories/tree,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
DELETE,/categories/{category_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
GET,/categories/{category_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
PATCH,/categories/{category_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/categories.py
GET,/collections,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
POST,/collections,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
DELETE,/collections/{collection_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
GET,/collections/{collection_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
PATCH,/collections/{collection_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
POST,/collections/{collection_id}/products,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
DELETE,/collections/{collection_id}/products/{product_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/collections.py
GET,/customers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
POST,/customers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
POST,/customers/import,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
GET,/customers/rfm,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
POST,/customers/rfm/campaign,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
DELETE,/customers/{customer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
GET,/customers/{customer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
PATCH,/customers/{customer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
GET,/customers/{customer_id}/history,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/customers.py
GET,/damage-types,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/damage_types.py
POST,/damage-types,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/damage_types.py
DELETE,/damage-types/{damage_type_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/damage_types.py
GET,/damage-types/{damage_type_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/damage_types.py
PATCH,/damage-types/{damage_type_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/damage_types.py
GET,/dashboard/activity,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/dashboard/finances,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/dashboard/finances/export,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/dashboard/stats,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/dashboard/today,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/dashboard/urgent-alert,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/dashboard.py
GET,/delivery-zones,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/delivery_zones.py
POST,/delivery-zones,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/delivery_zones.py
DELETE,/delivery-zones/{zone_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/delivery_zones.py
GET,/delivery-zones/{zone_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/delivery_zones.py
PATCH,/delivery-zones/{zone_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/delivery_zones.py
GET,/devis,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
PATCH,/devis/{devis_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/accept,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/change-request,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
PATCH,/devis/{devis_id}/change-request/{cr_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/change-requests,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/convert,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/coverage,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/coverage-items,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/coverage-items,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
DELETE,/devis/{devis_id}/coverage-items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
PATCH,/devis/{devis_id}/coverage-items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/duplicate,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/modules,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/modules,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
DELETE,/devis/{devis_id}/modules/{module_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
PATCH,/devis/{devis_id}/modules/{module_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/negotiation,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/negotiation/start,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/pdf,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/phases,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/phases,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
DELETE,/devis/{devis_id}/phases/{phase_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
PATCH,/devis/{devis_id}/phases/{phase_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/version-pending,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/refuse,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/renew,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/send,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
POST,/devis/{devis_id}/signature,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/devis/{devis_id}/versions,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/devis.py
GET,/evenements,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
GET,/evenements/{event_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
PATCH,/evenements/{event_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/close,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/flag-risk,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
GET,/evenements/{event_id}/incidents,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/incidents,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
